genome,locus,index_locus,class,type,tm,p2rp_description
GCA_009995885.1,GPJ22_15885,3149,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_15890,3150,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_16220,3216,HK,Classic,2,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_16665,3303,HK,Classic,2,"Histidine kinase, Classic contains 1 CHASE3,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_17585,3486,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995885.1,GPJ22_17905,3550,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_18225,3614,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_20215,4008,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995885.1,GPJ22_20955,4153,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_22230,4406,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_22280,4416,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995885.1,GPJ22_22605,4481,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995885.1,GPJ22_24060,4768,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995885.1,GPJ22_25790,5114,RR,unclassified,0,"Response regulator, unclassified contains 1 Response_reg"
GCA_020245465.1,IM497_05485,243,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020245465.1,IM497_05585,263,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_06625,476,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_020245465.1,IM497_06690,489,RR,RsbU,0,"Response regulator, RsbU family contains 1 Response_reg,1 SpoIIE"
GCA_020245465.1,IM497_07110,575,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_07115,576,HK,Classic,1,"Histidine kinase, Classic contains 1 CHASE3,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_07720,707,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_020245465.1,IM497_00730,1186,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_2,1 GAF,1 PHY,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_00735,1187,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_00740,1188,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_10890,1371,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_020245465.1,IM497_11115,1432,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 PAS_4,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_11890,1600,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_13145,1889,HK,CheA,0,"Histidine kinase, CheA contains 1 H-kinase_dim,1 HATPase_c,1 CheW,2 Response_reg"
GCA_020245465.1,IM497_13375,1934,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_13505,1961,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020245465.1,IM497_13560,1972,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_13885,2037,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020245465.1,IM497_01165,2043,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_16020,2520,RR,PleD,0,"Response regulator, PleD family contains 1 Response_reg,1 GGDEF"
GCA_020245465.1,IM497_16355,2596,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_020245465.1,IM497_16450,2614,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_01475,2648,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020245465.1,IM497_17030,2730,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_17055,2735,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_17515,2831,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020245465.1,IM497_01580,3013,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_19555,3282,HK,Classic,2,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_19925,3366,HK,Classic,7,"Histidine kinase, Classic contains 1 MASE1,1 GAF,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_19930,3367,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020245465.1,IM497_20795,3576,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020245465.1,IM497_20915,3600,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_20920,3601,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_21230,3668,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_21380,3698,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_21580,3757,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_21955,3835,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_22360,3914,HK,Classic,2,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_22560,3959,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_22575,3962,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_020245465.1,IM497_03380,4266,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020245465.1,IM497_03480,4285,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020245465.1,IM497_03555,4299,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_4,2 GAF,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_06515,240,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020246185.1,IM460_00685,362,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_00695,364,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_07715,522,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_07890,557,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_08545,688,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020246185.1,IM460_08965,777,HK,Classic,2,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_09950,974,HK,Classic,2,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_10215,1036,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_020246185.1,IM460_10920,1180,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020246185.1,IM460_11690,1340,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 PAS_4,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_11930,1413,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_13270,1686,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_13415,1715,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_13420,1716,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_13570,1753,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_13650,1768,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_4,2 GAF,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_13830,1804,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020246185.1,IM460_13835,1805,HK,Classic,7,"Histidine kinase, Classic contains 1 MASE1,1 GAF,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_14140,1874,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_2,1 GAF,1 PHY,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_14145,1875,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_14150,1876,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_15955,2260,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020246185.1,IM460_16190,2307,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_16315,2334,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_16590,2385,HK,CheA,0,"Histidine kinase, CheA contains 1 H-kinase_dim,1 HATPase_c,1 CheW,2 Response_reg"
GCA_020246185.1,IM460_01520,2491,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_020246185.1,IM460_17745,2674,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_020246185.1,IM460_01650,2737,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_18740,2920,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_020246185.1,IM460_19895,3165,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_19950,3176,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_19970,3180,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_20050,3196,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_20635,3314,RR,PleD,0,"Response regulator, PleD family contains 1 Response_reg,1 GGDEF"
GCA_020246185.1,IM460_02255,3680,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_020246185.1,IM460_02825,3796,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_020246185.1,IM460_03315,3898,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_03995,4036,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_04290,4130,RR,RsbU,0,"Response regulator, RsbU family contains 1 Response_reg,1 SpoIIE"
GCA_020246185.1,IM460_04490,4170,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_04935,4268,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_020246185.1,IM460_05435,4365,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_020246185.1,IM460_05440,4366,HK,Classic,0,"Probable incomplete histidine kinase contains 1 GAF,1 HATPase_c"
GCA_009995775.1,GPJ33_00275,52,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_00285,54,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_00735,142,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_00745,144,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_00750,145,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_2,1 GAF,1 PHY,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_00825,160,RR,PleD,0,"Response regulator, PleD family contains 1 Response_reg,1 GGDEF"
GCA_009995775.1,GPJ33_02145,422,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_02690,529,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_009995775.1,GPJ33_03380,664,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_03675,722,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_03980,783,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995775.1,GPJ33_04260,837,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_05015,988,HK,CheA,0,"Histidine kinase, CheA contains 1 H-kinase_dim,1 HATPase_c,1 CheW,2 Response_reg"
GCA_009995775.1,GPJ33_05170,1018,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995775.1,GPJ33_06390,1259,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995775.1,GPJ33_06485,1278,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995775.1,GPJ33_07505,1482,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995775.1,GPJ33_08755,1724,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_08825,1737,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_09345,1840,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_10890,2146,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_11390,2246,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995775.1,GPJ33_11905,2349,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_13565,2679,HK,Classic,2,"Histidine kinase, Classic contains 1 HAMP,1 PAS_4,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_13885,2742,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_14205,2806,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_14715,2907,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995775.1,GPJ33_14720,2908,HK,Classic,7,"Histidine kinase, Classic contains 1 MASE1,1 GAF,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_15230,3008,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_15235,3009,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_15825,3126,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995775.1,GPJ33_15990,3158,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995775.1,GPJ33_16285,3217,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995775.1,GPJ33_16730,3304,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_17190,3396,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_17620,3481,RR,RsbU,0,"Response regulator, RsbU family contains 1 Response_reg,1 SpoIIE"
GCA_009995775.1,GPJ33_18500,3657,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995775.1,GPJ33_19730,3901,HK,Classic,2,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_20680,4091,HK,Classic,4,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995775.1,GPJ33_20980,4151,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995775.1,GPJ33_21570,4269,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_4,2 GAF,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_00735,146,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_01010,200,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995945.1,GPI95_01555,308,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_01580,313,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_01635,324,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_01640,325,HK,Classic,0,"Probable incomplete histidine kinase contains 2 GAF,1 HATPase_c"
GCA_009995945.1,GPI95_01645,326,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_02025,402,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_02895,572,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_03235,640,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995945.1,GPI95_03635,719,RR,PleD,0,"Response regulator, PleD family contains 1 Response_reg,1 GGDEF"
GCA_009995945.1,GPI95_04285,849,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_04300,852,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_04535,899,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995945.1,GPI95_05375,1064,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_2,1 GAF,1 PHY,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_05380,1065,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_05385,1066,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_06135,1213,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 PAS_4,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_07720,1528,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_08215,1627,HK,Classic,3,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_08220,1628,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_08715,1727,HK,Classic,4,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_09225,1827,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995945.1,GPI95_09790,1938,HK,Classic,2,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_10875,2154,RR,unclassified,0,"Response regulator, unclassified contains 1 Response_reg"
GCA_009995945.1,GPI95_10945,2168,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995945.1,GPI95_11660,2309,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_11830,2343,HK,CheA,0,"Histidine kinase, CheA contains 1 H-kinase_dim,1 HATPase_c,1 CheW,2 Response_reg"
GCA_009995945.1,GPI95_12105,2397,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_12315,2439,HK,Classic,3,"Histidine kinase, Classic contains 1 CHASE3,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_12320,2440,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_12510,2478,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_14770,2925,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995945.1,GPI95_15015,2973,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995945.1,GPI95_15220,3014,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_15255,3021,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_15820,3130,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_4,2 GAF,1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_16215,3209,RR,RsbU,0,"Response regulator, RsbU family contains 1 Response_reg,1 SpoIIE"
GCA_009995945.1,GPI95_16500,3266,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_009995945.1,GPI95_16550,3276,HK,Classic,0,Probable incomplete histidine kinase contains 1 HATPase_c
GCA_009995945.1,GPI95_17700,3503,HK,Classic,2,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_18055,3574,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA_3
GCA_009995945.1,GPI95_19280,3815,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995945.1,GPI95_19545,3867,HK,Classic,1,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995945.1,GPI95_19550,3868,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995945.1,GPI95_20200,3998,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
