Table S3.5 HK domain architecture with corresponding categorical architecture of Antarctic cyanobacteria,,,,
organism_name,categorized_architecture,type,locus,domain_architecture
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Transmitter,Unorthodox,ANSO36C_RS29555,PAS_3 - PAS_3 - PAS - GAF - HisKA - HATPase_c - Response_reg - Response_reg - Hpt
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS02045,PAS_2 - GAF - PHY - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS14285,PAS_4 - GAF - GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS25170,GAF - PAS_4 - PAS_3 - HisKA_3 - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS05420,PAS_3 - PAS_4 - PAS - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter,Classic,ANSO36C_RS00265,PAS_3 - PAS_3- HisKA_2 - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter,Classic,ANSO36C_RS26010,PAS - PAS_4 - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS00245,PAS - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS05490,GAF - GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS06660,PAS_4 - PAS - HisKA_2 - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS21745,PAS_3 - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS24890,PAS - PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS04685,GAF - PAC - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS33025,PAS_4 - PAS_4 - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Transmitter,Unorthodox,ANSO36C_RS27905,GAF - GAF - HisKA - HATPase_c - Response_reg - Response_reg - Hpt
Nostoc cf. commune SO-36,Sensor - Transmitter,Classic,ANSO36C_RS18155,CBS - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS01765,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS04835,PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS07930,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS11455,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS16550,PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS17615,PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS18520,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS23175,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS27420,PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS28990,CHASE3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS29705,GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS29785,PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS01070,PAS - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS10835,GAF - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS19910,PAS_3 - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Transmitter,Classic,ANSO36C_RS07725,HATPase_c
Nostoc cf. commune SO-36,Transmitter,Classic,ANSO36C_RS18160,HATPase_c
Nostoc cf. commune SO-36,Transmitter,Classic,ANSO36C_RS30500,HATPase_c
Nostoc cf. commune SO-36,Transmitter,Classic,ANSO36C_RS31105,HATPase_c
Nostoc cf. commune SO-36,Transmitter,Classic,ANSO36C_RS32090,HATPase_c
Nostoc cf. commune SO-36,Transmitter - Sensor - Sensor - Transmitter,Classic,ANSO36C_RS09305,Pkinase - GAF - PAS_3 - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS15780,Pkinase - GAF - PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Sensor - Transmitter,Classic,ANSO36C_RS11645,Pkinase - GAF - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Sensor - Transmitter,Classic,ANSO36C_RS23500,S_TKc - GAF - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS00010,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS08405,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS10125,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS10940,HisKA_3 - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS11670,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS11695,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS13585,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS13900,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS15125,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS16505,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS23115,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS24955,HisKA_3 - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS28595,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS32385,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter,Classic,ANSO36C_RS32520,HisKA - HATPase_c
Nostoc cf. commune SO-36,Transmitter - Transmitter - Adaptor - Receiver,CheA,ANSO36C_RS28000,H-kinase_dim - HATPase_c - CheW - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS08680,HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS11620,HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS19440,HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS21355,HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Transmitter - Adaptor,CheA,ANSO36C_RS28615,Hpt - H-kinase_dim - HATPase_c - CheW
Nostoc cf. commune SO-36,Transmitter - Transmitter - Transmitter - Adaptor - Receiver,CheA,ANSO36C_RS17350,Hpt - H-kinase_dim - HATPase_c - CheW - Response_reg
Nostoc cf. commune SO-36,Transmitter - Transmitter - Transmitter - Adaptor - Receiver,CheA,ANSO36C_RS18950,Hpt - H-kinase_dim - HATPase_c - CheW - Response_reg
Cyanobium sp. GCA_003248995.1,Linker - Sensor - Transmitter - Transmitter,Classic,DCF23_02010,HAMP - PAS - HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Linker - Transmitter - Transmitter,Classic,DCF23_09350,HAMP - HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Linker - Transmitter - Transmitter,Classic,DCF23_02525,HAMP - HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Sensor - Transmitter - Transmitter,Classic,DCF23_03540,PAS - HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Transmitter - Transmitter,Classic,DCF23_06830,HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Transmitter - Transmitter,Classic,DCF23_10685,HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Transmitter - Transmitter,Classic,DCF23_11525,HisKA - HATPase_c
Cyanobium sp. GCA_003248995.1,Transmitter - Transmitter,Classic,DCF23_12765,HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Linker - Sensor - Transmitter - Transmitter,Classic,DCF24_04815,HAMP - PAS - HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Linker - Transmitter - Transmitter,Classic,DCF24_11575,HAMP - HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Linker - Transmitter - Transmitter,Classic,DCF24_02450,HAMP - HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Sensor - Transmitter - Transmitter,Classic,DCF24_03670,PAS - HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Transmitter - Transmitter,Classic,DCF24_04695,HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Transmitter - Transmitter,Classic,DCF24_10775,HisKA - HATPase_c
Cyanobium sp. GCA_003249115.1,Transmitter - Transmitter,Classic,DCF24_12055,HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS12315,HAMP - PAS_3 - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Sensor - Transmitter - Transmitter,Classic,C7B82_RS02635,HAMP - PAS - HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Transmitter - Transmitter,Classic,C7B82_RS13325,HAMP - HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Transmitter - Transmitter,Classic,C7B82_RS06125,HAMP - HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Transmitter - Transmitter,Classic,C7B82_RS05755,HAMP - HisKA - HATPase_c
Stenomitos frigidus ULC18,Linker - Transmitter - Transmitter - Receiver - Receiver,Hybrid,C7B82_RS24840,HAMP - HisKA - HATPase_c - Response_reg - Response_reg
Stenomitos frigidus ULC18,Receiver - Receiver - Receiver - Transmitter - Sensor - Transmitter - Transmitter,Unorthodox,C7B82_RS20145,Response_reg - Response_reg - Trans_reg_C - Hpt - PAS - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS17105,Response_reg - Response_reg - PAS - GAF - PAS_4 - PAS_4 - PAS_3 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS17360,Response_reg - Response_reg - PAS_4 - PAS - PAS_3 - PAS_3 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Receiver - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS09290,Response_reg - Response_reg - GAF - PAS_3 - PAS_3 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Receiver - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS21985,Response_reg - Response_reg - GAF - GAF - HisKA - HATPase_c - CYCc
Stenomitos frigidus ULC18,Receiver - Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS27085,Response_reg - Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS12585,Response_reg - PAS - PAS_4 - GAF - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS28310,Response_reg - GAF - GAF - PAS_4 - PAS_4 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS16380,Response_reg - PAS_3 - PAS_4 - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS23255,Response_reg - GAF - PAS_3 - PAS_3 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS28970,Response_reg - PAS_3 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS25055,Response_reg - PAS - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS04920,Response_reg - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS26930,Response_reg - PAS - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS22135,Response_reg - PAS - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Sensor - Transmitter - Transmitter,Hybrid,C7B82_RS23265,Response_reg - PAS_4 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS06555,CheB_methylest - MeTrc - PAS_4 - PAS - HisKA - HATPase_c - Response_reg
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS28990,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS03310,Response_reg - HisKA_3 - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS18970,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS00045,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Classic,C7B82_RS15665,bZIP_2 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS15670,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS27060,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS06765,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS17110,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS17135,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Receiver - Transmitter - Transmitter,Hybrid,C7B82_RS29250,Response_reg - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Linker - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter,Classic,C7B82_RS00625,Cache_1 - HAMP - PAS - PAS_3 - PAS_3 - PAS_3 - GAF - HisKA
Stenomitos frigidus ULC18,Sensor - Linker - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS03305,CHASE4 - HAMP - PAS_3 - PAS_4 - PAS_4 - HisKA - HATPase_c - Response_reg
Stenomitos frigidus ULC18,Sensor - Linker - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS28505,Cache_1 - HAMP - PAS_4 - PAS_4 - HisKA_3 - HATPase_c
Stenomitos frigidus ULC18,Sensor - Linker - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS12305,Cache_1 - HAMP - PAS_4 - PAS_4 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Linker - Sensor - Transmitter - Transmitter - Receiver - Receiver - Receiver,Hybrid,C7B82_RS28955,CHASE3 - HAMP - GAF - HisKA - HATPase_c - Response_reg - Response_reg - Response_reg
Stenomitos frigidus ULC18,Sensor - Linker - Transmitter,Classic,C7B82_RS17130,Cache_1 - HAMP - HisKA
Stenomitos frigidus ULC18,Sensor - Linker - Transmitter - Transmitter,Classic,C7B82_RS34465,Cache_1 - HAMP - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Linker - Transmitter - Transmitter,Classic,C7B82_RS02180,Cache_1 - HAMP - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS17115,CBS - CBS - GAF - GAF - PAS_3 - PAS_3 - PAS_4 - HisKA - HATPase_c - Response_reg
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS09695,PAS_4 - PAS_3 - PAS_3 - PAS_3 - PAS - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS00485,GAF - GAF - GAF - PAS_3 - PAS_3 - PAS_4 - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS24615,PAS - PAS_4 - PAS_4 - PAS_3 - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS22085,PAS_4 - PAS_4 - PAC - PAS_3 - PAS_3 - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS08910,PAS - PAS_3 - PAS_4 - PAS_4 - GAF - GAF - HisKA - HATPase_c - Response_reg
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Transmitter,Unorthodox,C7B82_RS17305,GAF - GAF - PAS_3 - PAS_4 - PAS_4 - HisKA - HATPase_c - Response_reg - Response_reg - Hpt
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS05155,PAS - PAS_4 - PAS_4 - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS00255,PAS_3 - PAS_4 - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS18965,PAS - PAS - PAS_3 - PAS_4 - HisKA_2 - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS25165,CBS - CBS - GAF - GAF - HisKA - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS26940,PAS_3 - PAS_4 - PAS_4 - PAS - HisKA_2 - HATPase_c
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,C7B82_RS26185,PAS - PAS - PAS_3 - PAS_3 - HisKA - HATPase_c - Response_reg
Stenomitos frigidus ULC18,Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,C7B82_RS09300,PAS_2 - GAF - PHY - HisKA - HATPase_c
