Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
GCA_001873365.1,Oscillatoriales cyanobacterium CG2_30_40_61,USA: Crystal Geyser near Green River; Utah,groundwater filtered through a 3.0 um filter,4818830,filament,39.83846031,99.02,0.11,fresh,temperate
GCA_001873375.1,Oscillatoriales cyanobacterium CG2_30_44_21,USA: Crystal Geyser near Green River; Utah,groundwater filtered through a 3.0 um filter,3495288,filament,44.31872064,98.58,0.24,fresh,temperate
GCF_001885215.1,Synechococcus sp. SynAce01,Antarctica: Ace Lake; Vestfold Hills,water,2750634,single,63.91570089,99.73,0,fresh,cold-freezing
GCF_001890765.1,Spirulina major PCC 6313,USA: Berkeley; California,brackish water,5050153,filament,53.47662776,99.67,0.11,NA,temperate
GCA_001890975.1,Roseofilum reptotaenium AO1-A,Australia: Central Great Barrier Reef,non-axenic enrichment culture inoculated from diseased coral,5826181,filament,44.80895805,98.89,0.44,salt,temperate
GCF_001904645.1,Fischerella major NIES-592,Japan: Hagiwara; Tomiji,water,5639496,filament,41.02946394,99.76,0.48,NA,temperate
GCA_001913845.2,Limnothrix sp. CACIAM 69d,Brazil: Tucurui,freshwater lake,4572073,filament,55.23059234,99.64,0,fresh,temperate
GCF_001989415.1,Prochlorococcus sp. RS50,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1656133,single,31.35970117,99.73,0.09,salt,temperate
GCF_001989435.1,Prochlorococcus sp. RS01,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1657699,single,31.382017,99.73,0.36,salt,temperate
GCF_001989455.1,Prochlorococcus sp. RS04,Saudi Arabia: central Red Sea,Surface water sample from the central Red Sea,1656322,single,31.35980563,99.73,0.09,salt,temperate
GCF_002095975.1,Microcystis aeruginosa PCC 7806SL,Netherlands,freshwater,5139339,single,42.08659907,99.67,1.45,fresh,temperate
GCA_002148405.1,Alkalinema sp. CACIAM 70d,Brazil: Tucurui,non-axenic culture of unicellular cyanobacterium started from freshwater lake,6461029,filament,49.68089389,99.06,0.94,fresh,temperate
GCF_002155185.1,Nostoc sp. RF31YmG,Mexico: Rayundo Flores; Tonala; Chiapas,coralloid roots,9205737,filament,41.99241992,99.11,2.61,plant,temperate
GCF_002251945.1,Pseudanabaena sp. SR411,USA: Union County; Susquehanna River,water,5780027,filament,42.17058955,99.53,2.12,fresh,temperate
GCF_002252625.1,Synechococcus sp. 1G10,Argentina: Nahuel Huapia,water,3340220,single,64.55595739,99.46,0.27,fresh,temperate
GCF_002252635.1,Synechococcus sp. MW101C3,Austria: Lake Mondsee,water,3029138,single,66.13422696,100,0.41,fresh,temperate
GCF_002252665.1,Synechococcus sp. 8F6,Mexico: Lake Alchichicha,water,2510697,single,65.82564065,99.46,0.54,fresh,temperate
GCA_002252675.1,Synechococcus sp. BO 8801,Switzerland: Lake Constance,water,3271183,single,69.15994377,98.91,0.27,fresh,temperate
GCF_002252705.1,Vulcanococcus limneticus LL,Italy: Lake Albano,water,3548884,single,68.35502498,100,1.09,fresh,temperate
GCA_002282945.1,Microcystis aeruginosa LE3,USA: OH; Lake Erie; Western Basin,enrichment culture from freshwater algal bloom,4556918,single,42.79887693,99.23,0.07,fresh,temperate
GCF_002289455.1,Calothrix elsteri CCALA 953,Antarctica: James Ross Island; Black Lake,Microbial mat BL2,7006470,filament,39.20071158,98.31,0.96,fresh,cold-freezing
GCA_002340255.1,Cyanobacteria bacterium UBA2566,Belize: Carrie Bow Cay Field Station,coral mucus,5339925,NA,44.92561551,98,0.44,salt,temperate
GCF_002356215.1,Synechococcus sp. NIES-970,Japan:Kagoshima; Tokunoshima Island; Rikuhama beach,coastal sea water,3123859,single,49.42396568,99.34,0.55,salt,temperate
GCA_002429095.1,Cyanobacteria bacterium UBA6050,USA: Looe Key National Marine Sanctuary; Florida,coral mucus,5400820,NA,44.95126519,98.67,0.22,salt,temperate
GCA_002429135.1,Cyanobacteria bacterium UBA6047,Guam: Luminao Reef Flat,coral mucus,5725904,NA,44.74836494,98.67,0.22,salt,temperate
GCF_002721235.1,Synechococcus sp. BDU 130192,India: Bay of Bengal,abandoned salt pan,3257113,single,49.34515662,99.78,0,salt,temperate
GCA_002796835.1,Elainella saxicola E1,Viet Nam,unialgal culture inoculated from water sample from a temporary water body in a tropical forest; contains one cyanobacterium and few bacterial species (which were removed by filtration),8702141,filament,48.3120761,99.29,2,fresh,temperate
GCF_002812945.1,Prochlorococcus marinus str. XMU1401,Pacific Ocean,oceanic epipelagic zone biome,1614308,single,31.31948798,99.18,0,salt,temperate
GCF_002896875.1,Nostoc sp. CENA543,Brazil,Brazilian saline-alkaline lake,7207640,filament,40.8413711,99.78,0.22,mineral,temperate
GCF_002914585.1,Pseudanabaena sp. BC1403,Greenland: 15km from Russell Glacier,freshwater,5509651,filament,42.05288139,99.29,0.94,fresh,cold-freezing
GCF_003003695.1,Phormidesmis priestleyi ULC007,Antarctica: Larsemann Hills; Lake 52,freshwater lake,5714281,filament,48.63098262,99.29,0,fresh,cold-freezing
GCA_003003725.1,filamentous cyanobacterium Phorm 6,Canada: Quttinirpaaq Lagoon,freshwater lake,6644697,filament,45.1998362,97.3,0.54,fresh,cold-freezing
GCF_003003775.1,Merismopedia glauca CCAP 1448/3,Norway: freshwater in Svalbard,freshwater,5204926,NA,41.72643377,99.66,0.89,fresh,cold-freezing
GCF_003003795.1,Stenomitos frigidus ULC18,Antarctica: Larsemann Hills; Lake 53,freshwater lake,6984011,filament,51.01384003,99.06,0.55,fresh,cold-freezing
GCF_003003995.1,Pleurocapsa sp. CCALA 161,Slovakia: lake in Vysoke Tatry,freshwater lake,5365828,single,39.73236542,98.25,1.16,fresh,cold-freezing
GCF_003011125.1,Synechococcus lacustris str. Tous,Spain: Tous,freshwater reservoir,2668880,single,51.73418395,98.55,1.72,fresh,temperate
GCF_003112475.1,Microcystis sp. 0824,Japan: Akita; Lake Hachiro,lake water,4103170,single,42.96629648,99.89,0.51,fresh,temperate
GCA_003149585.1,Synechococcus sp. XM-24,China: Xiamen,Synechococcus culture from coastal marine water,2376968,single,63.26538683,100,0.27,salt,temperate
GCF_003206555.1,Microcystis aeruginosa Sj,Japan: Lake Shinji,Eutrophic water,4617322,single,42.83011888,99.67,0.18,mineral,temperate
GCA_003208875.1,Prochlorococcus sp. AG-679-M23,Pacific Ocean,single cell amplified by WGA-X; seawater,1645990,single,30.75279923,99.73,0,salt,temperate
GCA_003213955.1,Prochlorococcus sp. AG-418-M08,Atlantic Ocean,single cell amplified by WGA-X; seawater,1664652,single,30.59822714,98.51,0.27,salt,temperate
GCA_003214815.1,Prochlorococcus sp. AG-412-J13,Atlantic Ocean,single cell amplified by WGA-X; seawater,1828325,single,31.42575855,97.11,0,salt,temperate
GCA_003215655.1,Prochlorococcus sp. AG-409-J16,Atlantic Ocean,single cell amplified by WGA-X; seawater,1843369,single,40.19802872,98.91,0,salt,temperate
GCA_003216615.1,Prochlorococcus sp. AG-402-M15,Pacific Ocean,single cell amplified by WGA-X; seawater,1605846,single,31.00129153,97.28,0,salt,temperate
GCA_003216775.1,Prochlorococcus sp. AG-402-K21,Pacific Ocean,single cell amplified by WGA-X; seawater,1635769,single,31.1756122,98.1,0.27,salt,temperate
GCA_003242035.1,Leptolyngbya foveolarum,Antarctica,microbial mat ULC129,4750982,filament,51.01166774,98.64,0.77,NA,cold-freezing
GCA_003242125.1,Phormidesmis priestleyi,Antarctica,microbial mat ULC007,5250385,filament,48.64067179,98.11,0,fresh,cold-freezing
GCA_003248995.1,Cyanobium sp. GCA_003248995.1,Antarctica,microbial mat ULC082,2793401,single,65.28957696,97.74,0.27,NA,cold-freezing
GCA_003249115.1,Cyanobium sp. GCA_003249115.1,Antarctica,microbial mat ULC084,2820113,single,65.44768171,98.55,0,NA,cold-freezing
GCA_003261315.1,Hapalosiphonaceae cyanobacterium JJU2,Philippines: Marinduque,lab-maintained culture,7145071,filament,40.04569056,97.94,0.84,salt,temperate
GCA_003279785.1,Prochlorococcus sp. AG-388-J02,Atlantic Ocean,single cell amplified by WGA-X; seawater,1721047,single,30.83599693,98.37,0,salt,temperate
GCA_003279855.1,Prochlorococcus sp. AG-388-E21,Atlantic Ocean,single cell amplified by WGA-X; seawater,1661104,single,30.85809197,98.91,0,salt,temperate
GCA_003280025.1,Prochlorococcus sp. AG-363-P06,Atlantic Ocean,single cell amplified by WGA-X; seawater,1694833,single,30.84026568,99.18,0,salt,temperate
GCA_003326205.1,Nostoc sp. ATCC 43529,USA: New Jersey,non-axenic culture from lake water,8458523,filament,41.01769842,99.81,3,fresh,temperate
GCA_003326215.1,Nostoc minutum NIES-26,Japan: Okinawa: Ishigaki Island,non-axenic culture,9839803,filament,41.8414244,99.7,0.72,salt,temperate
GCF_003326245.1,Nostoc sp. ATCC 53789,United Kingdom: Scotland; Arron Island,Lichen,8536834,filament,41.3872824,99.56,0.44,lichen,temperate
GCA_003386495.1,Microcystis wesenbergii TW10,China: Jiangsu,freshwater from Lake Taihu,4556116,single,43.13848559,99.23,0.07,fresh,temperate
GCA_003388675.1,Microcystis aeruginosa DA14,China: Yunnan,freshwater from Lake Dianchi,5140879,single,43.57664776,99.23,2.7,fresh,temperate
GCA_003390815.1,Microcystis flos-aquae TF09,China: Jiangsu,freshwater from Lake Taihu,5100068,single,42.39186615,99.23,0.29,fresh,temperate
GCA_003712085.1,Synechococcus sp. YX04-3,China: South China Sea,Synechococcus sp. YX04-3 co-culture from sea water,2459680,single,59.30519417,99.46,0,salt,temperate
GCF_003846445.1,Synechococcus elongatus PCC 11801,India: Powai Lake; Mumbai,Powai Lake,2691022,single,54.91624855,100,0,fresh,temperate
GCF_003957805.1,Synechococcus elongatus UTEX 3055,USA: Waller Creek; Texas,ENVO:00002006,2881223,single,55.12305018,100,0,fresh,temperate
GCF_004209775.1,Synechococcus sp. WH 8101,USA:Woods Hole,coastal seawater collected at Woods Hole; MA,2630292,single,63.33536353,100,0.82,salt,temperate
GCA_004292515.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Mainstem Eel River near Holmes Flat,microbial mat material,3980870,filament,56.34694513,98.82,0,fresh,temperate
GCA_004292695.1,Nostocales cyanobacterium,USA: California; Eel River; Middle Fork Eel River downstream of confluence with Black Butte river,microbial mat material,5393899,filament,36.01109327,98.78,0.44,fresh,temperate
GCA_004292745.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Larabee Creek near mouth,microbial mat material,5909242,filament,44.58304316,97.3,0.18,fresh,temperate
GCA_004292775.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Dobbyn Creek near Fort Seward,microbial mat material,7461196,filament,45.47318912,99.93,0.01,fresh,temperate
GCA_004292845.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Dobbyn Creek near Fort Seward,microbial mat material,7090442,filament,45.48907845,97.52,0.01,fresh,temperate
GCA_004292955.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Middle Fork Eel River,microbial mat material,7300262,filament,45.43868168,98.97,0,fresh,temperate
GCA_004293075.1,Oscillatoriales cyanobacterium,USA: California; Eel River; South Fork Eel River near Phillipsville,microbial mat material,7270377,filament,45.83831736,99.49,0.23,fresh,temperate
GCA_004293365.1,Oscillatoriales cyanobacterium,USA: California; Eel River; South Fork Eel River near Piercy,microbial mat material,7298254,filament,45.80090856,99.27,0.23,fresh,temperate
GCA_004293705.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,7078622,filament,45.39519132,97.63,0.55,fresh,temperate
GCA_004293745.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,5745940,filament,44.31480369,98.03,0.22,fresh,temperate
GCA_004294035.1,Oscillatoriales cyanobacterium,USA: California; Eel River; South Fork Eel River near Leggett,microbial mat material,7027012,filament,45.44761541,99.27,0.01,fresh,temperate
GCA_004294275.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Cedar Creek,microbial mat material,7199038,filament,45.41785993,97.08,0.34,fresh,temperate
GCA_004294345.1,Oscillatoriales cyanobacterium,USA: California; Eel River; South Fork Eel near Cedar Creek,microbial mat material,7390914,filament,45.39064391,97.84,0.66,fresh,temperate
GCA_004294385.1,Oscillatoriales cyanobacterium,USA: California; Eel River; Elder Creek,microbial mat material,6033591,filament,44.27156359,98.58,0,fresh,temperate
GCA_004299065.1,Phormidium sp. SL48-SHIP,Russia: Salt Lake 48; Novosibirsk region; Kulunda; Altai Krai,microbial mat of salt lake,4384607,filament,52.15209374,97.01,0.27,salt,temperate
GCF_004332405.1,Synechococcus sp. BS56D,Bulgaria: Black Sea,Marine (Black Sea),2303823,single,61.22766376,99.46,0.54,salt,temperate
GCF_004332415.1,Synechococcus sp. BS55D,Bulgaria: eastern Black Sea,Marine (Black Sea),2235215,single,61.61331237,99.18,0.27,salt,temperate
GCF_005402765.1,Planktothrix agardhii CCAP 1459/11A,United Kingdom:Windermere Cumbria,water,5512454,filament,39.46032021,100,0.12,NA,temperate
GCF_005402885.1,Sphaerospermopsis reniformis,Japan:Osaka; Fujiidera Fujiidera,pond water,6025023,filament,37.48447101,98.89,0.22,fresh,temperate
GCA_005518205.2,Hormoscilla sp. GUM202,Guam: Anae Island Reef; Piti Bomb Holes,sponge tissue,6869623,filament,47.52360441,97.41,2,salt,temperate
GCF_005577135.1,Synechococcus sp. PCC 11901,Singapore: near Pulau Ubin,estuarine water [ENVO:01000301],3471813,single,49.19002689,100,0,salt,temperate
GCF_006861605.1,Pseudanabaena sp. UWO310,Canada: Ontario; Algonquin Park; Dickson Lake,lake water,5264332,filament,43.43715404,97.88,1.18,fresh,temperate
GCF_006937785.1,Pseudanabaena sp. UWO311,Canada: Ontario; Algonquin Park; Dickson Lake,lake water,5211636,filament,41.97532214,98.58,0.47,fresh,temperate
GCA_007095475.1,Microcystis aeruginosa Ma_QC_C_20070703_M131,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4881837,single,42.91151056,99.23,0.73,fresh,cold-freezing
GCA_007095495.1,Microcystis sp. M_QC_C_20170808_M9Col,Canada: Quebec; Champlain Lake,Microcystis colony from freshwater,4486024,single,42.9714598,97.92,0.29,fresh,cold-freezing
GCA_007095515.1,Microcystis sp. M_QC_C_20170808_M2Col,Canada: Quebec; Champlain Lake,Microcystis colony from freshwater,4522887,single,42.93616002,97.92,0.29,fresh,cold-freezing
GCA_007095565.1,Microcystis sp. M_OC_Ca_00000000_S217Cul,Canada: Quebec; Caron Lake,non-axenic culture from freshwater,4819436,single,42.68084481,98.36,0.29,fresh,cold-freezing
GCA_007095585.1,Microcystis sp. M_OC_Ca_00000000_C217Col,Canada: Quebec; Caron Lake,Microcystis colony from freshwater,4817042,single,42.68725496,98.14,0.51,fresh,cold-freezing
GCA_007095605.1,Microcystis flos-aquae Ma_QC_C_20070823_S18D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4694014,single,42.77111231,99.45,0.07,fresh,cold-freezing
GCA_007095665.1,Microcystis aeruginosa Ma_OC_H_19870700_S124,Canada: Ontario; Heart lake,non-axenic culture from freshwater,4357516,single,43.33634116,99.01,0.29,fresh,temperate
GCA_007095685.1,Microcystis aeruginosa Ma_OC_LR_19540900_S633,Canada: Ontario; Little Rideau,non-axenic culture from freshwater,4728333,single,42.58378164,97.48,0.07,fresh,temperate
GCA_007095695.1,Microcystis aeruginosa Ma_AC_P_19900807_S300,Canada: Alberta; Pretzlaff Pond,non-axenic culture from freshwater,4512000,single,42.46894947,97.92,0.42,fresh,temperate
GCA_007095705.1,Microcystis sp. Msp_OC_L_20101000_S702,Canada: Ontario; Lakeland,non-axenic culture from freshwater,4799965,single,42.7429575,97.77,0.22,fresh,cold-freezing
GCA_007095745.1,Microcystis aeruginosa Ma_MB_F_20061100_S19D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4718990,single,42.77038095,99.23,0.29,fresh,temperate
GCA_007095755.1,Microcystis aeruginosa Ma_MB_F_20061100_S19,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4678010,single,42.7248766,98.79,1.99,fresh,temperate
GCA_007095785.1,Microcystis aeruginosa Ma_SC_T_19800800_S464,Canada: Saskatchewan; Tramping Lake,non-axenic culture from freshwater,4771055,single,42.53164132,97.04,0.51,fresh,cold-freezing
GCA_007095795.1,Microcystis aeruginosa Ma_MB_S_20031200_S102D,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4635690,single,42.47710697,99.89,0.15,fresh,temperate
GCA_007095845.1,Microcystis aeruginosa Ma_MB_S_20031200_S102,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4569153,single,42.48220622,99.23,0.15,fresh,temperate
GCA_007095855.1,Microcystis aeruginosa Ma_MB_F_20061100_S20D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4504533,single,42.71102021,99.67,0.8,fresh,temperate
GCA_007095885.1,Microcystis aeruginosa Ma_MB_F_20061100_S20,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4425942,single,42.68587343,99.01,0.8,fresh,temperate
GCA_007095915.1,Microcystis aeruginosa Ma_QC_Ch_20071001_S25D,Canada: Quebec; Reservoir Choiniere,non-axenic culture from freshwater,4611470,single,42.59773998,98.14,0.07,fresh,cold-freezing
GCA_007095925.1,Microcystis aeruginosa Ma_QC_Ch_20071001_M135,Canada: Quebec; Reservoir Choiniere,non-axenic culture from freshwater,4744234,single,42.69129642,97.26,1.61,fresh,cold-freezing
GCA_007096035.1,Microcystis wesenbergii Mw_QC_S_20081001_S30D,Canada: Quebec; Selby lake,non-axenic culture from freshwater,4460315,single,42.85934962,99.89,0.29,fresh,cold-freezing
GCA_007096045.1,Microcystis novacekii Mn_MB_F_20050700_S1,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4698201,single,42.75291755,97.92,0.51,fresh,temperate
GCA_007096105.1,Microcystis wesenbergii Mw_QC_B_20070930_S4D,Canada: Quebec; Brome Lake,non-axenic culture from freshwater,4592370,single,42.91581471,99.67,0.29,fresh,cold-freezing
GCA_007096465.1,Microcystis viridis Mv_BB_P_19951000_S69D,Brazil: Belo Horizonte; Pampulha lake,non-axenic culture from freshwater,4825200,single,42.8224944,99.01,0.52,fresh,temperate
GCA_007096475.1,Microcystis viridis Mv_BB_P_19951000_S68D,Brazil: Belo Horizonte; Pampulha lake,non-axenic culture from freshwater,4811176,single,42.76108378,98.79,0.52,soil,temperate
GCA_007096485.1,Microcystis novacekii Mn_MB_F_20050700_S1D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4788557,single,42.77067183,98.57,0.51,fresh,temperate
GCA_007096525.1,Microcystis wesenbergii Mw_QC_B_20070930_S4,Canada: Quebec; Brome Lake,non-axenic culture from freshwater,4495191,single,42.90596328,98.79,0.29,fresh,cold-freezing
GCA_007096535.1,Microcystis wesenbergii Mw_QC_S_20081001_S30,Canada: Quebec; Selby lake,non-axenic culture from freshwater,4360859,single,42.84621447,97.92,0.29,fresh,cold-freezing
GCA_007096555.1,Microcystis wesenbergii Mw_MB_S_20031200_S109D,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4447443,single,43.03733629,99.67,0.07,fresh,temperate
GCA_007096585.1,Microcystis wesenbergii Mw_MB_S_20031200_S109,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4093096,single,42.83840399,98.79,0,fresh,temperate
GCA_007096595.1,Microcystis flos-aquae Mf_WU_F_19750830_S460,USA: Wisconsin; Fox river,non-axenic culture from freshwater,4159678,single,43.22084546,98.79,0.84,fresh,temperate
GCA_007096625.1,Microcystis flos-aquae Mf_QC_C_20070823_S10D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4632803,single,42.82476505,98.57,0.07,fresh,cold-freezing
GCA_007096665.1,Microcystis flos-aquae Mf_QC_C_20070823_S10,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4659244,single,42.88309434,98.14,0.07,fresh,cold-freezing
GCA_007096675.1,Microcystis flos-aquae Mf_QC_C_20070823_S20T,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4655702,single,42.81528328,99.45,0.07,fresh,cold-freezing
GCA_007096705.1,Microcystis flos-aquae Mf_QC_C_20070823_S20,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4650850,single,42.94814926,98.36,0.07,fresh,cold-freezing
GCA_007096715.1,Microcystis flos-aquae Mf_QC_C_20070823_S20D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4650234,single,42.82821037,98.36,0.07,fresh,cold-freezing
GCA_007096765.1,Microcystis panniformis Mp_MB_F_20080800_S26D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4761960,single,42.33968786,98.79,0.58,fresh,temperate
GCA_007096775.1,Microcystis panniformis Mp_GB_SS_20050300_S99D,Brazil: Goias-Brazil; Sao Simao Lake,non-axenic culture from freshwater,4755025,single,42.33193306,99.01,0.58,fresh,temperate
GCA_007096785.1,Microcystis panniformis Mp_MB_F_20080800_S26,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4645112,single,42.35075494,98.14,0.58,fresh,temperate
